id;vehicle_id;vehicle_size;make;last_servicing_date;model
1;30442;1156;successfully molding;2024-04-28;gee ick triumph
2;12595;18768;intensify excluding;2024-04-27;esteem however
3;635;3753;partner;2024-04-28;wharf
4;14498;32075;hackwork versus playfully;2024-04-28;which excluding
5;25059;19148;rudely;2024-04-28;insubstantial
6;28761;21125;considering;2024-04-28;as eyebrows
7;29402;20771;quietly;2024-04-28;angrily
8;20462;13474;buyer bah;2024-04-27;between near
9;8989;32251;queasily;2024-04-28;gnash disclose left
10;12507;28058;woot versus;2024-04-28;bookmark chalk icky
