id;location_id;landmark_name;address_line_1;address_line_2;city;state;country;zip_code
1;28702;spleen;ick mesh;agonizing skeletal gerbil;Isaiascester;which meh because;Argentina;13216
2;18859;mmm;immediately guilty;sun gybe er;Brakustown;why havoc pish;Reunion;18709
3;15629;energetic huzzah rearrange;quality worth;upwardly faint lock;Arianechester;boohoo about arch;United Arab Emirates;27722
4;4797;mosh provided pish;trivial hmph;quarrelsome ha;West Augustaport;indeed yum diligently;Albania;21358
5;25843;exotic duh yippee;formal oof tamper;towards hazard sculptural;Reston;though jubilantly;Palau;25906
6;20253;lively;aha;without regularize whether;Doylechester;tasty beneath natter;Montenegro;911
7;3855;gratefully;foreigner following;consequently instead;Wildermanmouth;less sputter;Montserrat;30960
8;22089;pupil overhang;defeat seemingly;punctually politely;Vaughnboro;till;South Georgia and the South Sandwich Islands;19536
9;1368;mid;yum thankfully although;underneath sarcastic;Monroe;gratefully instill;Holy See (Vatican City State);21147
10;1543;after troop before;essential;needily till plumber;Jefferyton;waterlogged;Burundi;18248
