id;reservation_id;requested_time;date;start_time;end_time;wait_time;driver_rating;customer_rating;comment;trip_cost
1;4024;14458.7;2024-04-28;14345.04;25100.72;1051.61;21463.49;16245.01;unethically angrily after;22242.38
2;19612;7863.62;2024-04-27;5840.42;15432.36;20654.33;27554.1;31067.46;mmm that;162.76
3;12695;32668.99;2024-04-27;4199.43;6675.72;17329.19;11597.22;13791.1;miscommunication;4633.86
4;9389;4428.46;2024-04-28;11608.59;19576.78;10581.81;9263.78;969.67;lean bustle performance;12423.34
5;8435;19684.93;2024-04-28;22898.46;28755.09;30819.28;1974.75;11635.74;basket pish;17144.43
6;6959;5760.41;2024-04-27;11456.72;15599.03;5140.66;18082.42;14084.93;sick drat;3736.6
7;21020;20678.58;2024-04-28;6803.35;14511.94;13125.4;31470.54;6048.38;sky to boyhood;16710.15
8;26470;22602.89;2024-04-28;2057.19;19994.17;3666.6;25694.34;20560.32;eek guilty textbook;9951.72
9;31539;23259.54;2024-04-28;2402.38;13279.32;29850.7;4115.9;24571.67;dimly at;14265.28
10;30764;5092.31;2024-04-27;12502.21;29053.57;12793.56;22310.89;17241.81;object apropos;12314.32
