GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Way There Jhipster,com.mycompany.myapp.domain,Payment,79,66,10,2,22,25,16,13,10,13
Way There Jhipster,com.mycompany.myapp.domain,Location,53,106,8,0,18,44,8,27,4,27
Way There Jhipster,com.mycompany.myapp.domain,Customer,112,108,12,4,30,40,22,19,14,19
Way There Jhipster,com.mycompany.myapp.domain,AbstractAuditingEntity,0,37,0,0,0,17,0,9,0,9
Way There Jhipster,com.mycompany.myapp.domain,Rate,78,83,10,2,22,32,15,17,9,17
Way There Jhipster,com.mycompany.myapp.domain,Location_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,Rate_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,Reservation_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,User,0,153,0,8,0,50,0,34,0,30
Way There Jhipster,com.mycompany.myapp.domain,Vehicle_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,Insurance_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,Driver_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,Payment_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,Customer_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,Reservation,98,186,8,0,36,78,16,49,12,49
Way There Jhipster,com.mycompany.myapp.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,User_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,Authority_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,Vehicle,93,107,12,4,27,42,18,22,10,22
Way There Jhipster,com.mycompany.myapp.domain,Driver,84,90,10,2,24,35,16,19,10,19
