GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Way There Jhipster,com.mycompany.myapp.domain,Payment,0,145,2,10,0,47,2,27,0,23
Way There Jhipster,com.mycompany.myapp.domain,Location,0,159,0,8,0,62,0,35,0,31
Way There Jhipster,com.mycompany.myapp.domain,Customer,9,211,4,12,4,66,6,35,2,31
Way There Jhipster,com.mycompany.myapp.domain,AbstractAuditingEntity,16,21,0,0,8,9,4,5,4,5
Way There Jhipster,com.mycompany.myapp.domain,Rate,0,161,2,10,0,54,2,30,0,26
Way There Jhipster,com.mycompany.myapp.domain,Location_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,Rate_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,Reservation_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,User,70,83,8,0,17,33,14,20,10,20
Way There Jhipster,com.mycompany.myapp.domain,Vehicle_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,Insurance_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,Driver_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,Payment_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,Customer_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,Reservation,72,212,0,8,32,82,16,49,16,45
Way There Jhipster,com.mycompany.myapp.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,User_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,Authority_,3,0,0,0,1,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.domain,Vehicle,9,191,2,14,4,65,4,36,2,30
Way There Jhipster,com.mycompany.myapp.domain,Driver,9,165,2,10,4,55,4,31,2,27
Way There Jhipster,com.mycompany.myapp.domain,Insurance,18,111,0,12,8,39,4,24,4,18
Way There Jhipster,com.mycompany.myapp.domain,Authority,19,47,2,8,6,14,5,11,4,7
Way There Jhipster,com.mycompany.myapp.web.filter,SpaWebFilter,46,0,12,0,13,0,8,0,2,0
Way There Jhipster,com.mycompany.myapp,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Way There Jhipster,com.mycompany.myapp,WayThereJhipsterApp,149,0,10,0,33,0,11,0,6,0
Way There Jhipster,com.mycompany.myapp.management,SecurityMetersService,0,57,0,0,0,18,0,6,0,6
Way There Jhipster,com.mycompany.myapp.service,EmailAlreadyUsedException,4,0,0,0,2,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.service,UsernameAlreadyUsedException,4,0,0,0,2,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.service,MailService,195,0,2,0,46,0,9,0,8,0
Way There Jhipster,com.mycompany.myapp.service,InvalidPasswordException,4,0,0,0,2,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.service,UserService,631,0,22,0,179,0,40,0,29,0
Way There Jhipster,com.mycompany.myapp.service.dto,UserDTO,23,11,0,0,9,4,6,1,6,1
Way There Jhipster,com.mycompany.myapp.service.dto,AdminUserDTO,95,95,0,0,31,27,18,11,18,11
Way There Jhipster,com.mycompany.myapp.service.dto,PasswordChangeDTO,26,0,0,0,12,0,6,0,6,0
Way There Jhipster,com.mycompany.myapp.config,CacheConfiguration,168,0,2,0,40,0,10,0,9,0
Way There Jhipster,com.mycompany.myapp.config,LoggingConfiguration,53,0,8,0,15,0,5,0,1,0
Way There Jhipster,com.mycompany.myapp.config,CRLFLogConverter,0,142,0,14,0,24,0,12,0,5
Way There Jhipster,com.mycompany.myapp.config,LocaleConfiguration,20,0,0,0,6,0,3,0,3,0
Way There Jhipster,com.mycompany.myapp.config,ApplicationProperties,11,0,0,0,3,0,2,0,2,0
Way There Jhipster,com.mycompany.myapp.config,WebConfigurer,44,112,9,7,10,28,9,6,2,5
Way There Jhipster,com.mycompany.myapp.config,LiquibaseConfiguration,111,0,4,0,28,0,4,0,2,0
Way There Jhipster,com.mycompany.myapp.config,JacksonConfiguration,18,0,0,0,4,0,4,0,4,0
Way There Jhipster,com.mycompany.myapp.config,StaticResourcesWebConfiguration,0,86,0,0,0,13,0,7,0,7
Way There Jhipster,com.mycompany.myapp.config,DatabaseConfiguration,50,0,4,0,14,0,5,0,3,0
Way There Jhipster,com.mycompany.myapp.config,SecurityConfiguration,404,0,2,0,48,0,15,0,14,0
Way There Jhipster,com.mycompany.myapp.config,LoggingAspectConfiguration,8,0,0,0,2,0,2,0,2,0
Way There Jhipster,com.mycompany.myapp.config,SecurityJwtConfiguration,109,0,10,0,26,0,11,0,6,0
Way There Jhipster,com.mycompany.myapp.config,AsyncConfiguration,50,0,0,0,12,0,3,0,3,0
Way There Jhipster,com.mycompany.myapp.config,DateTimeFormatConfiguration,14,0,0,0,5,0,2,0,2,0
Way There Jhipster,com.mycompany.myapp.config,ApplicationProperties.Liquibase,10,0,0,0,4,0,3,0,3,0
Way There Jhipster,com.mycompany.myapp.aop.logging,LoggingAspect,117,0,10,0,25,0,11,0,6,0
Way There Jhipster,com.mycompany.myapp.service.mapper,UserMapper,100,114,12,6,27,33,12,11,6,8
Way There Jhipster,com.mycompany.myapp.web.rest.errors,ErrorConstants,16,0,0,0,5,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.web.rest.errors,EmailAlreadyUsedException,7,0,0,0,2,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.web.rest.errors,FieldErrorVM,21,0,0,0,8,0,4,0,4,0
Way There Jhipster,com.mycompany.myapp.web.rest.errors,BadRequestAlertException,44,0,0,0,16,0,5,0,5,0
Way There Jhipster,com.mycompany.myapp.web.rest.errors,InvalidPasswordException,14,0,0,0,7,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.web.rest.errors,ExceptionTranslator,506,0,88,0,89,0,68,0,24,0
Way There Jhipster,com.mycompany.myapp.web.rest.errors,LoginAlreadyUsedException,7,0,0,0,2,0,1,0,1,0
